t,o,h,l,Price,v,RSI,MACD,MACD Signal,5d_ma,200d_ma,invested_capital_movement,Invested Capital,buy,sell,available_capital,quantities,stop_loss,position_size,gross_profit,gross_loss,Portfolio worth
2016-01-14,32.080002,33.0,31.610001,31.767972999999998,41800,35.41508226383624,-0.7289318557367821,-0.47231637644467234,31.756324800000005,33.29751536499999,0,28200.0,False,False,3713.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,34147.26143500001
2016-01-15,31.4,31.92,31.23,30.700304,38000,26.796156373431614,-0.8251433477173933,-0.5428817706992166,31.5389088,33.28858043999999,0,28200.0,False,False,3713.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,33124.43453300001
2016-01-18,31.629998999999998,31.67,31.4,30.671188,24200,26.59251440837889,-0.8934420226569841,-0.6129938210907702,31.2884926,33.281088659999995,200,28400.0,False,False,3913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,33296.54140500001
2016-01-19,32.130001,32.150002,31.379998999999998,30.719717,50100,27.64994334184499,-0.932899445784507,-0.6769749460295176,30.985663199999998,33.275139409999994,0,28400.0,False,False,3913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,33343.032187000004
2016-01-20,31.280001000000002,31.860001,30.440001000000002,30.787659,47200,29.29524062662084,-0.947762173923909,-0.7311323916083958,30.9293682,33.26866329499999,0,28400.0,False,False,3913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,33408.12062300001
2016-01-21,31.799999,32.119999,31.389999,30.826487,19300,30.339827707742813,-0.945508662649388,-0.7740076458165943,30.741070999999998,33.26137030999999,0,28400.0,False,False,3913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,33445.317847000006
2016-01-22,32.240002000000004,32.650002,32.240002000000004,31.56415,33700,47.38100032690238,-0.8741231519625181,-0.7940307470457791,30.913840200000003,33.257621199999996,0,28400.0,False,False,3913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,34151.99900100001
2016-01-25,32.5,32.68,32.139998999999996,31.195316,12700,41.52092963835998,-0.837655470917678,-0.8027556918201589,31.0186658,33.251594645,0,28400.0,False,False,3913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,33798.656029000005
2016-01-26,32.27,32.560001,32.099998,31.467083000000002,13800,47.08498255287966,-0.7778585758435916,-0.7977762686248455,31.168139000000004,33.245578869999996,0,28400.0,False,False,3913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,34059.00881500001
2016-01-27,32.369999,32.400002,31.52,30.690599,26800,35.84229189007182,-0.7840864150209512,-0.7950382979040668,31.148727,33.23505481499999,0,28400.0,False,False,3913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,33315.13714300001
2016-01-28,32.400002,32.400002,31.67,31.137083,29700,44.616179282709744,-0.7444133612138017,-0.7849133105660138,31.210846200000002,33.22705204499999,0,28400.0,False,False,3913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,33742.86881500001
2016-01-29,32.200001,32.810001,32.09,31.816504,25200,55.33986781817209,-0.6506483149408027,-0.7580603114409716,31.261317000000002,33.223024099999996,0,28400.0,False,False,3913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,34393.754133
2016-02-01,32.529999,33.0,32.529999,31.94268,22800,57.11901441211026,-0.559705554300244,-0.7183893600128262,31.410789800000003,33.21866414499999,200,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,34714.630741
2016-02-02,32.93,32.93,32.110001000000004,31.253551,43900,45.65679265195339,-0.5370489463419688,-0.6821212772786547,31.3680834,33.21114741499999,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,34054.44515900001
2016-02-03,32.439999,32.439999,31.51,31.098254999999998,22000,43.39260967281223,-0.5255661116585095,-0.6508102441546257,31.4496146,33.20535769499999,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,33905.671591000006
2016-02-04,32.18,32.23,31.75,31.059431,142000,42.78062414282922,-0.51367730258562,-0.6233836558408247,31.4340842,33.19691852499999,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,33868.478199000005
2016-02-05,31.6,31.6,30.84,29.982056,166400,29.471654736281465,-0.5844532806329461,-0.615597580799249,31.0671946,33.18237029999999,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,32836.35294900001
2016-02-08,30.32,30.5,29.92,29.5744,33600,25.94740916642712,-0.6657636761898722,-0.6256307998773736,30.5935386,33.16486910999999,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,32445.818501000005
2016-02-09,29.93,30.75,29.93,29.448223,42000,24.884667403302387,-0.7319467533220596,-0.6468939905663108,30.23247299999999,33.14601487499999,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,32324.940935000002
2016-02-10,30.65,31.07,30.48,29.593813,52400,28.7688781629313,-0.7638443008948848,-0.6702840526320256,29.931584599999997,33.125962834999996,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,32464.416155000006
2016-02-11,30.65,30.65,30.48,29.603517999999998,16100,29.051061907668227,-0.7793562905784981,-0.6920985002213202,29.640402,33.10648891499999,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,32473.713545000002
2016-02-12,30.82,30.889999,30.59,29.982056,16200,39.786461370108015,-0.7524312421473844,-0.7041650486065331,29.640402,33.08900396499999,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,32836.35294900001
2016-02-16,31.469998999999998,31.530001000000002,31.27,30.603246999999996,21600,53.19612055053358,-0.6732077057167736,-0.6979735800285811,29.846171399999996,33.07558781999999,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,33431.453927
2016-02-17,31.469998999999998,32.32,31.469998999999998,31.282669,20200,63.46448325919809,-0.5492671947729377,-0.6682323029774525,30.213060599999995,33.06864997499999,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,34082.340203
2016-02-18,32.25,32.25,31.91,30.972075,13200,56.881921117967416,-0.4706800799904727,-0.6287218583800566,30.48871299999999,33.05770386499999,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,33784.791151000005
2016-02-19,31.9,32.02,31.68,31.020603,9700,57.67337407710517,-0.3998739236225539,-0.5829522714285561,30.772129999999986,33.046470819999996,0,28600.0,False,False,4113.543301000005,0.0,340.5402448499999,30172.496278,0.0,0.0,33831.280975
